[Sun Apr  6 22:40:26 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Sun Apr  6 22:40:26 2025] Event: File not found | IP: - | File: ./public/xyz.html | Status: 404 Not Found
[Sun Apr  6 22:41:40 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Sun Apr  6 22:41:40 2025] Event: File not found | IP: - | File: ./public/xyz.html | Status: 404 Not Found
[Sun Apr  6 22:41:46 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Sun Apr  6 22:41:47 2025] Event: File sent | IP: - | File: /index.html | Status: 200 OK
[Sun Apr  6 22:41:47 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Sun Apr  6 22:41:47 2025] Event: File sent | IP: - | File: /favicon.ico | Status: 200 OK
[Sun Apr  6 22:46:12 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Sun Apr  6 22:46:12 2025] Event: File sent | IP: - | File: /index.html | Status: 200 OK
[Sun Apr  6 22:46:15 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Sun Apr  6 22:46:16 2025] Event: File sent | IP: - | File: /index.html | Status: 200 OK
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: Client connected | IP: 127.0.0.1 | File: - | Status: CONNECTED
[Mon Apr  7 11:44:37 2025] Event: File sent | IP: - | File: ./public/index.html | Status: 200 OK
